,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,real sallary,predicted sallary
2873,0.77,0.93,5,182,4,0,0,0,support,medium,low
286,0.11,0.83,6,306,4,0,1,0,support,low,low
10542,0.33,1.0,2,210,3,1,0,0,sales,medium,low
13953,0.92,0.61,4,143,8,0,0,0,sales,low,medium
6041,0.96,0.68,5,145,3,1,0,0,sales,medium,low
8811,0.88,0.75,5,152,3,0,0,0,hr,high,medium
7060,0.84,0.62,4,152,3,0,0,0,technical,medium,low
12739,0.11,0.85,7,275,4,0,1,0,support,medium,low
9302,0.76,0.8,3,202,3,0,0,0,product_mng,medium,low
6024,0.52,0.62,3,275,2,0,0,0,IT,high,low
9245,0.52,0.82,4,198,4,0,0,0,sales,low,low
5988,0.72,0.99,4,227,3,0,0,0,hr,high,medium
733,0.38,0.45,2,129,3,0,1,0,support,medium,low
11361,0.87,0.48,5,242,3,0,0,0,sales,medium,low
2844,0.92,0.62,4,265,3,1,0,0,sales,medium,low
1241,0.43,0.53,2,148,3,0,1,0,sales,medium,low
8079,0.8,0.63,4,211,2,0,0,0,product_mng,medium,low
2621,0.85,0.55,4,260,2,1,0,0,sales,low,low
4659,0.82,0.97,5,235,3,0,0,0,support,medium,low
14834,0.36,0.52,2,146,3,0,1,0,sales,medium,low
6972,0.49,0.66,3,163,3,0,0,0,sales,medium,low
12849,0.74,0.87,5,264,3,0,0,0,accounting,high,medium
9277,0.64,0.81,3,225,3,1,0,0,technical,low,low
12170,0.81,0.99,4,259,5,0,1,0,sales,low,low
14958,0.42,0.52,2,134,3,0,1,0,sales,low,low
709,0.42,0.48,2,140,3,0,1,0,sales,low,low
14553,0.9,1.0,5,232,5,0,1,0,technical,medium,low
986,0.36,0.5,2,158,3,0,1,0,RandD,low,low
2952,0.96,0.62,4,217,2,0,0,0,support,medium,low
934,0.1,0.91,6,285,4,0,1,0,sales,medium,low
10297,0.53,0.57,4,250,3,1,0,0,product_mng,low,low
1997,0.41,0.53,2,157,3,0,1,0,sales,low,low
10864,0.79,0.65,5,215,2,1,0,0,sales,medium,low
9956,0.59,0.82,3,149,3,0,0,0,hr,low,medium
289,0.36,0.48,2,137,3,0,1,0,technical,low,low
14844,0.38,0.56,2,154,3,0,1,0,sales,low,low
8907,0.23,0.79,5,196,5,1,0,0,support,low,medium
8577,0.92,0.76,3,171,2,0,0,0,sales,medium,low
4736,0.83,0.91,3,168,3,0,0,1,technical,medium,medium
14230,0.76,0.89,5,262,5,0,1,0,sales,low,low
5270,0.46,0.45,2,172,2,1,0,0,management,low,high
8868,0.98,0.51,3,243,2,0,0,0,sales,low,low
14243,0.4,0.51,2,145,3,0,1,0,hr,low,low
11783,0.66,0.79,5,134,3,0,0,0,management,high,medium
5582,0.66,0.99,4,209,3,0,0,0,sales,medium,low
7008,0.56,0.68,3,109,3,0,0,0,IT,low,low
14858,0.46,0.5,2,151,3,0,1,0,technical,medium,low
2365,0.37,0.63,4,153,3,1,0,0,sales,medium,low
12395,0.45,0.46,2,128,3,0,1,0,sales,low,low
4576,0.97,0.6,5,133,2,0,0,0,RandD,medium,low
13271,0.7,0.76,4,173,2,0,0,0,support,medium,low
9835,0.51,0.85,2,248,4,0,0,0,IT,high,medium
6362,0.61,0.53,4,266,3,0,0,0,accounting,medium,medium
1744,0.4,0.48,2,161,3,0,1,0,IT,medium,low
6277,0.97,0.75,5,228,4,0,0,0,sales,low,medium
9662,0.44,0.46,3,121,3,0,0,0,technical,medium,low
7659,0.58,0.65,5,187,2,0,0,0,sales,low,low
13577,0.76,0.8,5,217,2,0,0,0,sales,medium,low
4811,0.6,0.81,4,245,3,1,0,0,support,medium,low
9839,0.37,0.41,6,101,3,0,0,0,product_mng,low,low
7321,0.74,0.73,3,267,3,0,0,0,product_mng,low,low
2376,0.6,0.57,2,184,3,0,0,0,sales,medium,low
9058,0.78,0.84,4,173,3,0,0,0,support,low,low
4566,0.32,0.77,6,112,4,0,0,0,IT,medium,medium
518,0.44,0.54,2,151,3,0,1,0,management,low,low
5762,0.79,0.9,5,212,5,0,0,0,technical,low,medium
12577,0.57,0.72,4,275,6,0,1,0,technical,medium,low
3160,0.54,0.5,2,123,4,1,0,0,accounting,low,medium
7606,0.57,0.98,3,188,5,0,0,0,support,medium,medium
10608,0.96,0.51,4,225,3,0,0,0,marketing,medium,medium
7794,0.76,0.6,5,279,2,0,0,0,sales,medium,low
9437,0.7,0.74,3,253,4,1,0,0,support,low,low
5737,0.81,0.49,2,205,5,1,0,0,sales,low,medium
9492,0.44,0.56,3,123,3,0,0,0,accounting,medium,medium
2937,0.91,0.7,4,196,2,0,0,0,technical,low,low
3535,0.96,0.5,3,234,2,1,0,0,sales,medium,low
1552,0.17,0.55,6,250,5,0,1,0,sales,medium,low
5173,0.8,0.87,4,220,2,0,0,0,IT,medium,low
10280,0.83,0.67,5,132,2,1,0,0,support,medium,low
4432,0.65,0.6,5,160,3,0,0,0,technical,medium,low
12381,0.38,0.46,2,145,3,0,1,0,hr,medium,low
2517,0.55,0.63,5,184,4,0,0,0,marketing,medium,medium
6143,0.52,0.73,4,245,4,0,0,0,technical,medium,medium
10324,1.0,0.83,4,280,4,1,0,0,sales,low,medium
11329,1.0,0.74,2,187,3,0,0,0,support,medium,low
11017,0.73,0.88,5,233,4,1,0,0,sales,medium,low
2536,0.61,0.59,5,271,2,0,0,0,sales,low,low
10825,0.73,0.93,3,249,2,0,0,0,IT,medium,low
1253,0.85,1.0,4,234,5,0,1,0,hr,low,low
5969,0.22,0.9,4,106,2,0,0,0,sales,medium,low
3081,0.97,0.81,3,249,2,0,0,0,sales,low,low
12189,0.44,0.51,2,156,3,0,1,0,technical,high,low
5452,0.5,0.73,4,271,2,0,0,0,hr,low,medium
9383,0.41,0.63,5,263,3,0,0,0,RandD,medium,medium
11504,0.7,0.68,3,150,3,0,0,0,support,low,low
6587,0.75,0.72,5,260,3,0,0,0,sales,low,low
5992,0.91,0.66,4,139,3,0,0,0,technical,high,low
9222,0.92,0.94,3,234,2,1,0,0,IT,medium,low
10653,0.94,0.99,2,273,4,0,0,0,technical,low,medium
4590,0.69,0.84,3,227,3,1,0,0,sales,high,low
9250,0.96,0.95,4,265,2,0,0,0,sales,low,low
5579,0.51,0.75,3,234,2,1,0,0,marketing,medium,low
13110,0.89,0.91,3,233,2,0,0,0,IT,medium,low
543,0.89,0.92,5,237,5,0,1,0,sales,medium,low
6125,0.79,0.48,5,200,3,0,0,0,sales,low,low
9048,0.48,0.54,3,190,3,0,0,0,technical,medium,low
13657,0.31,0.7,3,132,3,0,0,0,product_mng,low,low
14070,0.51,0.56,4,168,2,0,0,0,sales,low,low
13321,0.44,0.51,2,219,4,0,0,0,sales,low,medium
8839,0.86,0.71,5,235,4,0,0,0,IT,medium,medium
14975,0.1,0.79,7,310,4,0,1,0,hr,medium,low
13554,0.69,0.9,3,185,4,0,0,0,product_mng,low,low
13418,0.49,0.65,4,233,7,0,0,0,sales,medium,medium
3324,0.86,0.82,2,207,4,1,0,0,technical,low,medium
14706,0.82,0.99,4,263,6,0,1,0,technical,medium,low
5971,0.78,0.91,3,132,2,0,0,0,sales,medium,low
3110,0.57,0.99,4,222,2,0,0,0,support,medium,low
6806,0.51,0.46,3,176,3,0,0,0,sales,low,low
12598,0.37,0.46,2,157,3,0,1,0,IT,low,low
4626,0.49,0.79,4,158,3,0,0,0,support,high,low
4799,0.37,0.74,2,197,3,0,0,0,product_mng,low,low
12990,0.79,0.61,4,227,2,0,0,1,sales,high,medium
12353,0.43,0.57,2,135,3,0,1,0,support,low,low
14654,0.81,0.98,5,245,5,0,1,0,IT,low,low
8709,0.68,0.85,5,173,3,0,0,0,marketing,low,medium
3564,0.58,0.6,3,110,3,1,0,0,support,low,low
787,0.39,0.46,2,156,3,0,1,0,sales,low,low
436,0.11,0.85,6,261,4,0,1,0,support,low,low
4991,0.79,0.82,3,98,3,1,0,0,hr,low,medium
6797,0.13,0.49,6,227,4,0,0,0,technical,medium,medium
14067,0.81,0.92,4,268,3,0,0,0,sales,low,low
10210,0.86,0.97,4,258,3,0,0,0,technical,high,low
11169,0.77,0.83,5,216,4,0,0,0,IT,medium,medium
9131,0.18,0.73,5,228,5,0,0,0,support,low,medium
5956,0.74,0.86,4,221,2,1,0,0,accounting,low,low
11853,0.71,0.63,3,204,3,0,0,0,marketing,low,medium
11427,0.84,0.8,4,236,3,0,0,0,marketing,low,medium
9428,0.85,0.83,4,219,3,0,0,0,technical,low,low
14685,0.87,1.0,5,242,5,0,1,0,sales,low,low
9737,0.85,0.48,2,208,4,0,0,0,technical,medium,medium
5911,0.75,0.5,4,155,2,1,0,0,hr,low,medium
13444,0.7,0.85,4,142,2,0,0,0,support,low,low
3132,0.5,0.73,3,148,3,0,0,0,accounting,low,medium
882,0.11,0.79,6,294,4,0,1,0,technical,medium,low
13058,0.93,0.91,2,238,2,1,0,0,sales,low,low
11184,0.84,0.75,4,135,3,0,0,1,RandD,medium,medium
9556,0.97,0.88,4,237,4,0,0,0,sales,low,medium
13205,0.61,0.86,3,239,3,0,0,0,IT,low,low
6216,0.56,0.59,5,209,2,1,0,0,hr,high,medium
11262,0.98,0.67,3,190,10,0,0,0,IT,medium,medium
5672,0.77,0.8,4,167,3,0,0,0,sales,medium,low
8903,0.65,0.84,3,189,2,1,0,0,support,low,low
2871,0.77,0.49,4,217,2,0,0,0,support,medium,low
4860,0.5,0.85,4,224,6,0,0,0,support,high,medium
1998,0.84,0.96,4,247,5,0,1,0,sales,low,low
14557,0.81,1.0,4,253,5,0,1,0,technical,low,low
7642,0.74,0.78,4,203,2,0,0,0,sales,medium,low
5945,0.37,0.74,5,117,3,0,0,0,product_mng,medium,low
12490,0.53,0.56,4,281,6,0,1,0,hr,medium,low
8358,0.49,0.8,3,227,4,1,0,0,technical,low,medium
11386,0.92,0.6,4,161,3,0,0,0,IT,low,low
5862,0.33,0.69,3,125,3,0,0,0,management,medium,high
6668,0.36,0.63,3,130,5,0,0,0,accounting,low,medium
11133,0.62,0.84,3,270,6,0,0,0,hr,medium,medium
6378,0.67,0.83,3,260,3,0,0,0,technical,low,low
14206,0.9,0.55,3,259,10,1,0,1,management,high,high
7009,0.69,0.94,3,170,3,0,0,0,IT,high,low
6912,0.92,0.67,4,241,3,0,0,0,technical,high,low
13108,0.82,0.93,3,247,3,0,0,0,technical,medium,low
2148,0.68,0.73,3,257,3,0,0,0,sales,low,low
3076,0.56,0.52,3,243,3,0,0,0,sales,low,low
11574,0.49,0.52,4,161,7,0,0,0,management,high,high
12801,0.56,0.83,3,236,3,1,0,0,technical,medium,low
9108,0.52,0.67,4,182,3,0,0,0,sales,medium,low
5113,0.93,0.61,3,166,3,0,0,0,sales,medium,low
1022,0.36,0.48,2,145,3,0,1,0,hr,low,low
3793,0.69,0.9,5,231,2,1,0,0,support,low,low
2032,0.54,0.94,4,267,4,0,0,0,support,low,low
12552,0.82,0.85,5,248,5,0,1,0,sales,low,low
5447,0.5,0.75,5,179,3,0,0,0,accounting,low,medium
2633,0.78,0.59,3,212,2,0,0,0,technical,low,low
7382,0.54,0.71,5,253,2,1,0,0,support,high,low
8382,0.31,0.57,4,200,4,0,0,0,IT,medium,medium
3555,0.72,0.72,5,194,4,0,0,0,technical,low,medium
3234,0.84,0.79,6,140,2,0,0,0,accounting,high,low
3134,0.93,0.95,6,147,3,0,0,0,technical,low,low
7787,0.54,0.97,4,258,3,0,0,0,support,low,low
9527,0.72,0.72,4,218,4,0,0,0,IT,low,medium
14919,0.37,0.54,2,157,3,0,1,0,support,low,low
13366,0.7,0.88,4,180,2,0,0,0,support,medium,low
7762,0.82,0.87,5,273,6,0,0,0,support,medium,medium
3409,0.58,0.86,5,206,3,0,0,0,support,low,low
6845,0.87,0.72,3,201,3,0,0,0,support,low,low
1199,0.75,0.74,6,134,3,0,1,0,support,medium,low
7042,0.53,0.97,3,189,3,0,0,0,sales,low,low
788,0.78,0.81,3,222,2,0,1,0,sales,low,low
11730,0.91,0.58,3,220,7,0,0,1,sales,low,medium
1159,0.11,0.95,7,269,5,0,1,0,sales,medium,low
9903,0.73,0.87,4,263,2,0,0,0,support,low,low
10064,0.61,0.84,4,265,2,0,0,0,IT,low,low
2111,1.0,0.92,5,161,3,1,0,0,support,low,low
6207,0.63,0.98,4,210,3,0,0,0,sales,medium,low
11688,0.94,0.9,4,144,4,0,0,0,support,low,low
874,0.14,0.73,7,282,5,0,1,0,technical,low,low
5284,0.98,0.56,5,180,3,0,0,0,sales,medium,low
5403,0.68,0.81,3,166,2,0,0,0,IT,medium,low
7616,0.71,0.8,5,248,4,0,0,0,management,medium,high
12985,0.76,0.64,4,234,2,0,0,0,sales,high,low
3198,0.98,0.95,4,250,2,1,0,0,product_mng,high,low
11158,0.69,0.55,3,172,2,0,0,0,technical,medium,low
4681,0.65,0.89,4,240,3,0,0,0,sales,low,low
13807,0.59,0.59,4,197,7,0,0,0,IT,medium,medium
7979,0.53,0.45,5,140,5,0,0,0,technical,low,medium
6634,0.91,0.78,4,153,3,0,0,0,RandD,medium,medium
2176,0.82,0.73,4,195,5,1,0,0,technical,medium,medium
1204,0.43,0.56,2,158,3,0,1,0,IT,low,low
5321,0.83,0.61,5,246,3,0,0,0,support,medium,low
13828,0.72,0.75,4,211,4,0,0,0,sales,medium,medium
1709,0.1,0.81,6,269,4,0,1,0,accounting,medium,low
2090,0.6,0.95,5,205,3,0,0,0,accounting,medium,medium
1075,0.74,0.89,4,267,5,0,1,0,sales,medium,low
13031,0.48,0.58,3,194,3,0,0,0,technical,medium,low
1933,0.43,0.46,2,157,3,0,1,0,sales,medium,low
7467,0.51,0.83,5,161,3,0,0,0,IT,low,low
1653,0.1,0.88,7,282,4,0,1,0,support,low,low
7392,0.9,0.7,3,223,2,0,0,0,IT,low,low
1640,0.91,0.89,5,217,5,0,1,0,technical,low,low
9006,0.85,0.99,4,233,2,0,0,0,marketing,high,low
8913,0.2,0.5,6,282,6,1,0,0,technical,low,medium
5901,0.88,0.59,2,144,3,0,0,0,sales,medium,low
2594,0.99,0.72,3,119,2,1,0,0,marketing,low,low
3308,0.42,0.74,6,218,6,0,0,0,sales,medium,medium
13611,0.15,0.75,3,150,4,0,0,1,accounting,medium,medium
13623,0.5,1.0,4,258,3,0,0,0,sales,medium,low
8337,0.55,0.49,3,205,3,0,0,0,sales,medium,low
3612,0.71,0.63,5,224,3,1,0,0,sales,medium,low
4914,0.74,0.53,5,141,2,0,0,0,accounting,low,low
9843,0.52,0.93,2,243,3,0,0,0,accounting,high,medium
12537,0.45,0.45,2,154,3,1,1,0,support,medium,low
12776,0.1,0.97,6,254,5,0,1,0,sales,medium,low
7604,0.73,0.52,2,113,5,1,0,0,support,medium,medium
2955,0.88,0.59,5,230,3,0,0,0,support,medium,low
10022,0.98,0.53,4,214,2,0,0,0,sales,low,low
3051,0.84,0.47,3,125,4,0,0,0,RandD,low,medium
11277,0.57,0.7,4,237,6,0,0,0,accounting,low,medium
6308,0.5,0.71,5,171,4,0,0,0,support,low,low
6718,0.66,0.75,4,200,4,0,0,0,accounting,medium,medium
1377,0.11,0.86,6,273,4,1,1,0,support,low,low
11987,0.19,0.79,4,229,4,0,0,0,product_mng,medium,low
12450,0.81,0.9,4,226,5,0,1,0,product_mng,medium,low
9025,0.71,0.8,4,199,2,0,0,0,sales,low,low
6999,0.9,0.69,3,231,4,0,0,0,support,medium,low
400,0.91,1.0,5,251,6,0,1,0,sales,low,low
1239,0.38,0.47,2,152,3,0,1,0,sales,medium,low
13401,0.28,0.89,4,97,6,0,0,0,management,low,high
14997,0.11,0.96,6,280,4,0,1,0,support,low,low
2107,0.59,0.88,4,155,3,1,0,0,support,low,low
9520,0.54,0.92,4,175,3,0,0,0,support,low,low
7115,0.9,0.64,4,217,3,0,0,0,sales,low,low
4645,0.85,0.58,4,273,4,0,0,0,IT,medium,medium
8124,0.72,0.9,4,225,2,0,0,0,hr,low,medium
858,0.74,1.0,4,253,5,0,1,0,sales,low,low
6810,0.55,0.9,4,191,3,0,0,0,sales,low,low
13274,0.8,0.86,3,203,3,0,0,0,support,medium,low
12872,0.49,0.37,5,246,3,0,0,0,support,medium,low
1880,0.76,0.87,5,262,5,0,1,0,support,low,low
8180,0.7,0.67,5,136,3,0,0,0,sales,medium,low
2331,0.82,0.83,3,271,2,0,0,0,technical,medium,low
10884,0.67,0.87,5,254,2,0,0,0,support,low,low
11755,0.88,0.6,4,208,7,0,0,1,management,high,high
13711,0.49,0.36,2,192,3,0,0,0,sales,low,low
10243,1.0,0.63,2,105,2,0,0,0,sales,medium,low
6031,0.23,0.88,5,156,4,0,0,0,sales,low,low
6922,0.48,0.41,5,286,3,0,0,0,support,high,low
13105,0.92,0.98,3,149,3,0,0,0,support,medium,low
10281,0.4,0.37,3,169,3,1,0,0,support,medium,low
11413,0.16,0.72,3,203,3,0,0,0,sales,medium,low
3986,0.42,0.75,3,163,2,1,0,0,sales,low,low
515,0.88,1.0,5,219,6,1,1,0,technical,low,low
11104,0.85,0.87,6,232,5,0,0,0,management,high,medium
10204,0.57,0.62,5,263,2,0,0,0,support,medium,low
12697,0.11,0.8,6,306,4,0,1,0,sales,low,low
9576,0.24,0.58,3,184,5,1,0,0,technical,medium,medium
7597,1.0,0.67,3,181,2,0,0,0,technical,low,low
1762,0.41,0.71,3,205,4,0,1,0,marketing,low,low
2051,0.73,0.69,4,171,3,0,0,0,product_mng,medium,low
2474,0.5,0.55,4,148,3,1,0,0,hr,low,medium
1624,0.89,1.0,4,217,5,0,1,0,sales,medium,low
3231,0.97,0.97,5,171,2,0,0,0,sales,high,low
11958,0.16,0.63,5,266,7,0,0,0,IT,low,medium
11173,0.95,0.88,3,199,3,0,0,0,IT,medium,low
3093,0.81,0.79,5,135,3,0,0,0,technical,low,low
1735,0.38,0.46,2,160,3,0,1,0,support,low,low
8237,0.59,0.89,5,143,3,1,0,0,IT,low,low
13783,0.95,0.66,4,223,10,0,0,0,IT,low,medium
3585,0.85,0.62,2,280,4,0,0,0,RandD,low,medium
14360,0.39,0.5,2,147,3,0,1,0,marketing,low,low
10988,0.32,0.86,4,266,4,0,0,0,RandD,low,medium
1927,0.09,0.95,6,271,4,0,1,0,sales,low,low
10462,0.97,0.89,3,264,3,0,0,0,marketing,low,medium
1177,0.82,0.82,4,249,5,0,1,0,hr,low,low
3962,0.64,0.5,6,254,6,0,0,0,RandD,medium,medium
12580,0.44,0.51,2,145,3,0,1,0,support,low,low
533,0.43,0.51,2,136,3,0,1,0,hr,medium,low
1356,0.1,0.79,6,271,4,0,1,0,technical,medium,low
12242,0.38,0.53,2,156,3,0,1,0,sales,low,low
4648,0.64,0.4,3,248,3,0,0,0,product_mng,medium,low
10436,0.99,0.87,5,211,2,0,0,0,support,medium,low
12091,0.89,1.0,5,246,5,0,1,0,sales,low,low
1655,0.09,0.9,6,256,4,0,1,0,support,low,low
358,0.31,0.62,6,135,5,0,1,0,support,low,low
7922,0.48,0.94,3,185,2,1,0,0,IT,medium,low
14393,0.89,0.99,5,257,5,0,1,0,accounting,medium,low
4844,0.66,0.96,4,103,2,0,0,0,technical,low,low
4653,0.89,0.89,3,138,2,0,0,0,RandD,medium,low
12645,0.4,0.54,2,141,3,0,1,0,technical,medium,low
12633,0.38,0.56,2,154,3,0,1,0,sales,low,low
11477,0.32,0.47,3,143,4,0,0,0,IT,medium,medium
10734,0.67,0.49,3,185,3,0,0,0,support,low,low
6730,0.17,0.49,4,286,5,1,0,0,sales,low,medium
6110,0.86,0.56,5,237,3,0,0,0,technical,low,low
1403,0.86,0.96,5,245,6,0,1,0,accounting,medium,low
9916,0.6,0.59,3,237,4,1,0,0,product_mng,low,medium
8170,0.89,0.96,5,239,3,0,0,0,support,low,low
14199,0.49,0.49,3,104,7,0,0,0,product_mng,high,medium
4718,0.92,0.9,4,249,3,0,0,0,IT,low,low
5561,0.28,0.97,4,102,3,0,0,0,IT,high,low
3427,0.73,0.53,3,184,2,0,0,0,product_mng,low,low
12405,0.47,0.5,4,254,4,0,1,0,sales,low,low
12981,0.72,0.61,3,175,3,0,0,0,sales,high,low
12910,0.79,0.49,3,273,3,0,0,0,sales,medium,low
6621,0.92,0.83,5,270,3,0,0,0,technical,low,low
3500,0.75,0.92,3,192,3,0,0,0,product_mng,medium,low
165,0.11,0.84,7,296,4,0,1,0,sales,low,low
9553,0.5,0.65,4,266,3,1,0,0,sales,medium,low
11923,0.83,0.8,3,240,8,0,0,0,sales,low,medium
8054,0.76,0.49,5,243,3,0,0,0,technical,low,low
11581,0.57,0.93,2,204,10,0,0,0,accounting,low,medium
5657,0.86,0.91,3,234,3,1,0,0,marketing,low,medium
9836,0.91,0.7,3,193,2,0,0,0,IT,low,low
2114,0.35,0.5,5,227,2,0,0,0,support,low,low
10359,0.24,0.65,4,248,3,0,0,0,support,medium,low
2037,0.61,0.41,3,138,3,0,0,0,support,low,low
813,0.15,0.55,6,139,4,0,1,0,support,high,low
9342,0.92,0.76,4,258,2,0,0,0,hr,medium,medium
9286,0.98,0.56,3,139,2,1,0,0,support,low,low
9526,0.45,0.87,2,268,4,1,0,0,IT,low,medium
2838,0.75,0.64,4,247,3,1,0,0,sales,medium,low
5846,0.72,0.92,3,264,3,0,0,0,technical,low,low
4163,0.63,0.9,2,242,3,1,0,0,technical,high,low
